Name,Location,Security,Latitude,Longitude,Address - Street,Address - Locality,Address - State,Address - Zip Code,Phone,URL
Bay State Correctional Center,Norfolk,Medium,42.118151,-71.299692,28 Clark Street ,Norfolk,MA ,02056,508-668-1687,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/bay-state-correctional-center.html
Boston Pre-Release Center,Roslindale (Boston),Minimum/Pre-Release,42.292284,-71.099347,430 Canterbury St.,Roslindale,MA,02131,617-822-5000,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/boston-pre-release-center.html
Bridgewater State Hospital,Bridgewater,Medium,41.943564,-70.955801,20 Administration Road,Bridgewater,MA,02324,508-279-4500,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/bridgewater-state-hospital.html
Lemuel Shattuck Hospital Correctional Unit,Boston,Medium,42.299591,-71.101391,180 Morton Street,Jamaica Plain,MA,02130,617-522-7585,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/lemuel-shattuck-hospital-correctional-unit.html
Massachusetts Alcohol and Substance Abuse Center,Bridgewater,Minimum,41.945176,-70.950917,2 Administration Road,Bridgewater,MA,02324,508-279-3500,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/massachusetts-alcohol-and-substance-abuse-center.html
Massachusetts Treatment Center,Bridgewater,Medium,41.945349,-70.954649,30 Administration Road,Bridgewater,MA,02324,508-279-8100,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/mass-treatment-center.html
Massachusetts Correctional Institution - Cedar Junction,Norfolk / Walpole,Maximum/Medium,42.1063,-71.289637,Route 1A,South Walpole,MA ,02071,508-660-8000,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/mci-cedar-junction.html
Massachusetts Correctional Institution - Concord,West Concord,Medium,42.465482,-71.395743,965 Elm Street,Concord,MA,01742,978-405-6100,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/mci-concord.html
Massachusetts Correctional Institution - Framingham,Framingham,Medium,42.267099,-71.407131,99 Loring Drive,Framingham,MA,01701,508-532-5100,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/mci-framingham.html
Massachusetts Correctional Institution - Norfolk,Norfolk,Medium,42.119105,-71.303732,2 Clark Street,Norfolk,MA,02056,508-660-5900,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/mci-norfolk.html
Massachusetts Correctional Institution - Plymouth,Plymouth,Minimum,41.849114,-70.661584,Myles Standish Forest,South Carver,MA,02366,508-295-2647,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/mci-plymouth.html
Massachusetts Correctional Institution - Shirley,Shirley,Medium/Minimum,42.527113,-71.646832,1 Harvard Road,Shirley,MA,01464,978-425-4341,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/mci-shirley.html
North Central Correctional Institution,Gardner,Medium/Minimum,42.573613,-71.946077,500 Colony Road ,Gardner,MA,01440,978-630-6000,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/nccigardner.html
Northeastern Correctional Center,West Concord,Minimum/Pre-Release,42.472351,-71.398081,Barretts Mill Road ,West Concord,MA,01742,978-371-7941,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/northeastern-correctional-center.html
Old Colony Correctional Center,Bridgewater,Medium/Minimum,41.945564,-70.949803,1 Administration Road ,Bridgewater,MA,02324,508-279-6000,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/old-colony-correctional-center.html
Pondville Correctional Center,Norfolk,Minimum/Pre-Release,42.108834,-71.292914,Industries Dr,Norfolk,MA,02056,508-660-3924,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/pondville-correctional-center.html
South Middlesex Correctional Center,Framingham,Minimum/Pre-Rel,42.265273,-71.4058,135 Western Avenue,Framingham,MA,1701,508-879-1241,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/south-middlesex-correctional-center.html
Souza-Baranowski Correctional Center,Shirley,Maximum,42.523831,-71.648074,1 Harvard Road,Shirley ,MA ,01464,978-514-6500,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/souza-baranowski-correctional-center.html
