,Labor Force,Labor Force,Labor Force,Employment,Employment,Employment,Unemployment,Unemployment,Unemployment,Rate %,Rate %,Rate %
Date,9/1/2015,8/1/2015,9/1/2014,9/1/2015,8/1/2015,9/1/2014,9/1/2015,8/1/2015,9/1/2014,9/1/2015,8/1/2015,9/1/2014
Massachusetts,"3,537,000","3,621,900","3,560,200","3,378,100","3,460,000","3,358,700","158,900","161,900","201,500",4.5,4.5,5.7
Boston-Cambridge-Newton MA NECTA Division,"1,538,741","1,574,702","1,541,604","1,477,939","1,513,610","1,464,519","60,802","61,092","77,085",4,3.9,5
Brockton-Bridgewater-Easton MA NECTA Division,"104,086","105,257","104,877","98,790","99,786","98,170","5,296","5,471","6,707",5.1,5.2,6.4
Framingham MA NECTA Division,"153,603","156,989","153,981","148,056","151,318","146,913","5,547","5,671","7,068",3.6,3.6,4.6
Haverhill-Newburyport-Amesbury Town MA-NH NECTA Division,"110,753","113,700","110,846","106,183","108,909","104,987","4,570","4,791","5,859",4.1,4.2,5.3
Lawrence-Methuen Town-Salem MA-NH NECTA Division,"93,064","95,322","94,090","87,227","89,395","86,948","5,837","5,927","7,142",6.3,6.2,7.6
Lowell-Billerica-Chelmsford MA-NH NECTA Division,"180,820","185,082","181,870","172,561","176,564","171,334","8,259","8,518","10,536",4.6,4.6,5.8
Lynn-Saugus-Marblehead MA NECTA Division,"83,053","84,639","83,100","79,227","80,816","78,255","3,826","3,823","4,845",4.6,4.5,5.8
Nashua NH-MA NECTA Division,"8,523","8,646","8,759","8,201","8,322","8,356",322,324,403,3.8,3.7,4.6
Peabody-Salem-Beverly MA NECTA Division,"89,437","91,018","90,137","85,639","87,218","85,265","3,798","3,800","4,872",4.2,4.2,5.4
Taunton-Middleborough-Norton MA NECTA Division,"80,822","82,244","81,913","76,836","78,083","77,018","3,986","4,161","4,895",4.9,5.1,6
Barnstable Town MA Metropolitan NECTA,"122,626","133,220","125,785","117,069","127,677","118,814","5,557","5,543","6,971",4.5,4.2,5.5
Leominster-Gardner MA Metropolitan NECTA,"74,821","76,437","76,147","70,792","72,249","71,005","4,029","4,188","5,142",5.4,5.5,6.8
New Bedford MA Metropolitan NECTA,"82,482","83,146","83,302","77,122","77,663","76,614","5,360","5,483","6,688",6.5,6.6,8
Pittsfield MA Metropolitan NECTA,"42,876","45,073","43,984","40,763","42,947","41,283","2,113","2,126","2,701",4.9,4.7,6.1
Providence-Warwick RI-MA Metropolitan NECTA,"142,150","144,734","143,732","134,714","137,058","134,165","7,436","7,676","9,567",5.2,5.3,6.7
Springfield MA-CT Metropolitan NECTA,"361,908","365,581","364,301","342,819","345,282","340,033","19,089","20,299","24,268",5.3,5.6,6.7
Worcester MA-CT Metropolitan NECTA,"344,222","350,487","344,711","327,755","333,367","323,867","16,467","17,120","20,844",4.8,4.9,6
Athol MA Micropolitan NECTA,"9,477","9,770","9,689","8,902","9,173","8,957",575,597,732,6.1,6.1,7.6
Greenfield Town MA Micropolitan NECTA,"19,753","20,053","20,193","18,942","19,220","19,139",811,833,"1,054",4.1,4.2,5.2
North Adams MA-VT Micropolitan NECTA,"10,326","10,521","10,738","9,738","9,894","9,933",588,627,805,5.7,6,7.5
Vineyard Haven MA Micropolitan NECTA,"9,405","11,289","9,960","9,001","10,891","9,441",404,398,519,4.3,3.5,5.2
Buckland MA LMA,"3,373","3,474","3,526","3,234","3,331","3,331",139,143,195,4.1,4.1,5.5
Great Barrington MA LMA,"10,696","11,443","11,140","10,320","11,061","10,682",376,382,458,3.5,3.3,4.1
Nantucket County/town MA,"7,822","9,056","7,810","7,613","8,852","7,539",209,204,271,2.7,2.3,3.5
